nombre,categoria,label,telefono,website,email,direccion,lat,lng,whatsapp_outreach,estado_directorio,notas
7-Eleven,tiendas,Tiendas & Artesanías,,,,,25.397077,-100.126832,,pendiente,
7-Eleven,tiendas,Tiendas & Artesanías,,,,,25.404905,-100.133441,,pendiente,
7-Eleven,tiendas,Tiendas & Artesanías,,,,,25.431833,-100.15248,,pendiente,
7-Eleven,tiendas,Tiendas & Artesanías,,,,,25.495121,-100.188797,,pendiente,
7-Eleven,tiendas,Tiendas & Artesanías,,,,,25.460321,-100.170304,,pendiente,
Abarrotes Adelaido,tiendas,Tiendas & Artesanías,,,,,25.474946,-100.193385,,pendiente,
Abarrotes Cady,tiendas,Tiendas & Artesanías,,,,,25.472929,-100.188492,,pendiente,
Abarrotes California,tiendas,Tiendas & Artesanías,,,,,25.472808,-100.188203,,pendiente,
Abarrotes El Rayado,tiendas,Tiendas & Artesanías,,,,,25.472784,-100.195068,,pendiente,
Afirme,bancos,Bancos & ATMs,,,,,25.424061,-100.148635,,pendiente,
Autozone Santiago,automotriz,Gasolineras & Mecánicos,,,,,25.424013,-100.148297,,pendiente,
Banamex,bancos,Bancos & ATMs,,,,,25.403728,-100.133476,,pendiente,
Bancomer,bancos,Bancos & ATMs,,,,,25.405044,-100.133502,,pendiente,
Banorte,bancos,Bancos & ATMs,,,,,25.401834,-100.132509,,pendiente,
Benavides,farmacia,Farmacias,,,,,25.425244,-100.148821,,pendiente,
C.S.R. El Barrial,salud,Médicos & Salud,,,,,25.476824,-100.185467,,pendiente,
Carpinteria Gustavo,tiendas,Tiendas & Artesanías,,,,,25.460505,-100.169628,,pendiente,
Carpinteria JL,tiendas,Tiendas & Artesanías,,,,,25.448239,-100.160509,,pendiente,
Casa de la Cultura y Museo Santiago,cultura,Historia & Cultura,,,,,25.424049,-100.152043,,pendiente,
Cascada El Salto,cultura,Historia & Cultura,,,,,25.390945,-100.240028,,pendiente,
Centro de Salud El Cercado,salud,Médicos & Salud,,,,Calzada del Obrero Textil,25.404395,-100.139653,,pendiente,
Centro de salud San Francisco,salud,Médicos & Salud,,,,Calle Galeana 152,25.417594,-100.162267,,pendiente,
Clinica Shock Trauma Santiago,salud,Médicos & Salud,,,,,25.369972,-100.104219,,pendiente,
Comercial Treviño,tiendas,Tiendas & Artesanías,,,,,25.441599,-100.156039,,pendiente,
Distribuidora Almaguer,automotriz,Gasolineras & Mecánicos,,,,,25.387305,-100.116644,,pendiente,
Distribuidora Almaguer,automotriz,Gasolineras & Mecánicos,,,,,25.387406,-100.116427,,pendiente,
Don Despensa,tiendas,Tiendas & Artesanías,,,,,25.404975,-100.134884,,pendiente,
El Charro,restaurantes,Restaurantes,,,,,25.377498,-100.111529,,pendiente,
El Chiquilin,tiendas,Tiendas & Artesanías,,,,,25.404145,-100.134995,,pendiente,
El Mercadito,tiendas,Tiendas & Artesanías,,,,Eduardo W. Pineda,25.40208,-100.128055,,pendiente,
El Pollo Loco Santiago,restaurantes,Restaurantes,,,,Carretera Nacional 209,25.424073,-100.148016,,pendiente,
Elotes Miguel,restaurantes,Restaurantes,,,,Calle Huajuquito 250,25.443931,-100.160976,,pendiente,
Estetica Marcela,belleza,Salones & Estéticas,,,,,25.47509,-100.189554,,pendiente,
Farmacia Gudalajara,farmacia,Farmacias,,,,,25.36397,-100.102834,,pendiente,
Farmacias Benavides,farmacia,Farmacias,,,,,25.405172,-100.134592,,pendiente,
