nombre,categoria,label,telefono,website,email,direccion,lat,lng,whatsapp_outreach,estado_directorio,notas,places_encontrado,telefono_places,website_places,horario,rating,total_reseñas
7-Eleven,tiendas,Tiendas & Artesanías,+52 81 8158 0711,,,,25.397077,-100.126832,https://wa.me/528181580711?text=Hola%2C%207-Eleven%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 8158 0711,https://www.7-eleven.com.mx/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours,4.3,12
7-Eleven,tiendas,Tiendas & Artesanías,+52 81 8158 0711,,,,25.404905,-100.133441,https://wa.me/528181580711?text=Hola%2C%207-Eleven%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 8158 0711,https://www.7-eleven.com.mx/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours,4.3,12
7-Eleven,tiendas,Tiendas & Artesanías,+52 81 8158 0711,,,,25.431833,-100.15248,https://wa.me/528181580711?text=Hola%2C%207-Eleven%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 8158 0711,https://www.7-eleven.com.mx/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours,4.5,4
7-Eleven,tiendas,Tiendas & Artesanías,+52 81 8158 0711,,,,25.495121,-100.188797,https://wa.me/528181580711?text=Hola%2C%207-Eleven%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 8158 0711,https://www.7-eleven.com.mx/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours,4,10
7-Eleven,tiendas,Tiendas & Artesanías,+52 81 8158 0711,,,,25.460321,-100.170304,https://wa.me/528181580711?text=Hola%2C%207-Eleven%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 8158 0711,https://www.7-eleven.com.mx/,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours,4,11
Abarrotes Adelaido,tiendas,Tiendas & Artesanías,+52 81 3281 9549,,,,25.474946,-100.193385,https://wa.me/528132819549?text=Hola%2C%20Abarrotes%20Adelaido%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 3281 9549,https://lasaliadas.com.mx/,Monday: 12:30 PM – 12:00 AM | Tuesday: 12:30 PM – 12:00 AM | Wednesday: 12:30 PM – 12:00 AM,4.8,232
Abarrotes Cady,tiendas,Tiendas & Artesanías,+52 81 2924 9353,,,,25.472929,-100.188492,https://wa.me/528129249353?text=Hola%2C%20Abarrotes%20Cady%21%20%F0%9F%91%8B%20Soy%20del%20Hotel%20El%20Encino%20de%20Santiago%2C%20N.L.%20Estamos%20creando%20un%20directorio%20tur%C3%ADstico%20gratuito%20para%20apoyar%20a%20los%20negocios%20locales%20del%20municipio.%20Me%20gustar%C3%ADa%20incluirlos%20con%20su%20informaci%C3%B3n%2C%20foto%20y%20ubicaci%C3%B3n%20en%20el%20mapa.%20%C2%BFLes%20interesa%3F%20%C2%A1Es%20completamente%20gratis%21%20%F0%9F%99%8F,pendiente,,si,+52 81 2924 9353,,,5,1
Abarrotes California,tiendas,Tiendas & Artesanías,,,,,25.472808,-100.188203,,pendiente,,si,,,Monday: 6:30 AM – 10:00 PM | Tuesday: 6:30 AM – 10:00 PM | Wednesday: 6:30 AM – 10:00 PM,4.9,7
Abarrotes El Rayado,tiendas,Tiendas & Artesanías,,,,,25.472784,-100.195068,,pendiente,,si,,,Monday: 7:00 – 10:09 AM | Tuesday: 7:00 – 10:09 AM | Wednesday: 7:00 – 10:09 AM,,
Afirme,bancos,Bancos & ATMs,,,,,25.424061,-100.148635,,pendiente,,si,,https://www.afirme.com/,,3,2
